id,type,from,to,days,dist,key,ID,homeport,No_trips
DOM774,DOM,AKLHMB,Tutukaka,4,143.437582941152,774,Y774,AKL_HMB,7
DOM774,DOM,AKLHMB,Great Barrier,14,81.6589826657178,774,Y774,AKL_HMB,7
DOM774,DOM,AKLHMB,Kerikeri,6,202.974659009444,774,Y774,AKL_HMB,7
DOM775,DOM,AKLWESTHAV,Tutukaka,3,136.339193557832,775,Y775,AKL_WESTHAV,12
DOM775,DOM,AKLWESTHAV,Great Barrier,14,87.9603970545836,775,Y775,AKL_WESTHAV,12
DOM776,DOM,AKLPINE,Bay of Islands,14,196.990299316997,776,Y776,AKL_PINE,12
DOM776,DOM,AKLPINE,Great Barrier,2,77.8466200293886,776,Y776,AKL_PINE,12
DOM778,DOM,AKLHMB,Coromandel,20,53.5056046129749,778,Y778,AKL_HMB,20
DOM780,DOM,Gulf Harbour,AKLWESTHAV,14,27.2313872213665,780,Y780,Gulf HM,20
DOM781,DOM,AKLWESTHAV,Great Barrier,5,87.9603970545836,781,Y781,AKL_WESTHAV,20
DOM783,DOM,AKLWESTHAV,Kawau Is,4,46.8842318909034,783,Y783,AKL_WESTHAV,4
DOM783,DOM,AKLWESTHAV,Waiheke Island,5,24.5345001986998,783,Y783,AKL_WESTHAV,4
DOM784,DOM,AKLWESTHAV,Tutukaka,8,136.339193557832,784,Y784,AKL_WESTHAV,25
DOM784,DOM,AKLWESTHAV,Great Barrier,14,87.9603970545836,784,Y784,AKL_WESTHAV,25
DOM784,DOM,AKLWESTHAV,Gulf Harbour,4,27.2313872213665,784,Y784,AKL_WESTHAV,25
DOM784,DOM,AKLWESTHAV,Opua,2,178.950919807639,784,Y784,AKL_WESTHAV,25
DOM786,DOM,AKLHMB,Great Barrier,37,81.6589826657178,786,Y786,AKL_HMB,20
DOM787,DOM,AKLWESTHAV,Opua,7,178.950919807639,787,Y787,AKL_WESTHAV,10
DOM788,DOM,AKLBWM,AKLWESTHAV,180,2.52604433848656,788,Y788,AKL_BWM,0
DOM788,DOM,AKLBWM,Tutukaka,3,134.718447140694,788,Y788,AKL_BWM,0
DOM788,DOM,AKLBWM,Opua,180,177.720555929808,788,Y788,AKL_BWM,0
DOM789,DOM,AKLPINE,Mercury Islands,4,77.1340087121109,789,Y789,AKL_PINE,25
DOM789,DOM,AKLPINE,Great Barrier,7,77.8466200293886,789,Y789,AKL_PINE,25
DOM789,DOM,AKLPINE,Little Barrier,2,79.6646800658862,789,Y789,AKL_PINE,25
DOM791,DOM,Waikawa Bay,Picton,365,3.31620641697709,791,Y791,Waikawa Bay Marina,5
DOM792,DOM,Tauranga,Tutukaka,2,270.105757806086,792,Y792,Tauranga,1
DOM792,DOM,Tauranga,Opua,2,320.246655564114,792,Y792,Tauranga,1
