id,type,from,to,days,dist,key
DOM287,DOM,AKLPINE,Whangarei,2,138.471630668524,287
DOM288,DOM,AKLWESTHAV,Kawau Is,7,46.8842318909034,288
DOM288,DOM,AKLWESTHAV,Gulf Harbour,2,27.2313872213665,288
DOM288,DOM,AKLWESTHAV,Waiheke Island,7,24.5345001986998,288
DOM288,DOM,AKLWESTHAV,Coromandel,7,66.2164248883916,288
DOM290,DOM,Picton,Wellington,2,65.1801350105997,290
DOM291,DOM,AKLWESTHAV,Great Barrier,14,87.9603970545836,291
DOM294,DOM,Wellington,Picton,30,65.1801350105997,294
DOM295,DOM,Wellington,AKLWESTHAV,21,494.104081747965,295
DOM295,DOM,Wellington,Tauranga,2,419.72348385574,295
DOM295,DOM,Wellington,Lyttelton,1,308.516347054739,295
DOM297,DOM,Wellington,Picton,11,65.1801350105997,297
DOM3,DOM,Gulf Harbour,Tutukaka,4,111.219518296026,3
DOM3,DOM,Gulf Harbour,Kawau Is,21,19.6753970735027,3
DOM3,DOM,Gulf Harbour,Great Barrier,10,67.8647552121129,3
DOM3,DOM,Gulf Harbour,Opua,5,156.298564452781,3
DOM3,DOM,Gulf Harbour,Kerikeri,3,171.277176675703,3
DOM30,DOM,AKLPINE,Waiheke Island,6,10.3364645793424,30
DOM302,DOM,Wellington,Picton,42,65.1801350105997,302
DOM306,DOM,Great Barrier,AKLWESTHAV,14,87.9603970545836,306
DOM306,DOM,Great Barrier,AKLHMB,14,81.6589826657178,306
DOM306,DOM,Great Barrier,Little Barrier,1,39.3497458695733,306
DOM307,DOM,AKLWESTHAV,Kawau Is,6,46.8842318909034,307
DOM307,DOM,AKLWESTHAV,Waiheke Island,20,24.5345001986998,307
DOM308,DOM,AKLTamaki,AKLBBM,365,3.53624094201738,308
DOM309,DOM,AKLHMB,Tutukaka,8,143.437582941152,309
DOM309,DOM,AKLHMB,Great Barrier,4,81.6589826657178,309
DOM309,DOM,AKLHMB,Opua,3,188.146868695708,309
DOM31,DOM,AKLWESTHAV,Tutukaka,1,136.339193557832,31
DOM31,DOM,AKLWESTHAV,Kerikeri,90,193.445609151513,31
DOM310,DOM,AKLPINE,Great Barrier,14,77.8466200293886,310
DOM311,DOM,Gulf Harbour,Kawau Is,2,19.6753970735027,311
DOM311,DOM,Gulf Harbour,Great Barrier,4,67.8647552121129,311
DOM311,DOM,Gulf Harbour,Opua,40,156.298564452781,311
DOM312,DOM,AKLHMB,Tutukaka,2,143.437582941152,312
DOM312,DOM,AKLHMB,Great Barrier,10,81.6589826657178,312
DOM312,DOM,AKLHMB,Opua,2,188.146868695708,312
DOM312,DOM,AKLHMB,Kerikeri,1,202.974659009444,312
DOM313,DOM,AKLWESTHAV,Tutukaka,4,136.339193557832,313
DOM313,DOM,AKLWESTHAV,Whangarei,1,125.446098783501,313
DOM313,DOM,AKLWESTHAV,Gulf Harbour,2,27.2313872213665,313
DOM313,DOM,AKLWESTHAV,Opua,4,178.950919807639,313
DOM315,DOM,AKLWESTHAV,Kerikeri,3,193.445609151513,315
DOM315,DOM,AKLWESTHAV,Tauranga,14,156.730126331857,315
DOM316,DOM,AKLPINE,Great Barrier,4,77.8466200293886,316
DOM316,DOM,AKLPINE,Whangarei,1,138.471630668524,316
DOM316,DOM,AKLPINE,Opua,2,192.199928459924,316
DOM316,DOM,AKLPINE,Tauranga,2,136.207939930094,316
DOM317,DOM,AKLWESTHAV,Great Barrier,7,87.9603970545836,317
DOM318,DOM,AKLWESTHAV,Opua,4,178.950919807639,318
DOM318,DOM,AKLWESTHAV,AKLWESTPARK,250,9.29800516239908,318
DOM319,DOM,AKLWESTHAV,Bay of Islands,3,183.789278318949,319
DOM319,DOM,AKLWESTHAV,Tutukaka,3,136.339193557832,319
DOM319,DOM,AKLWESTHAV,Kawau Is,14,46.8842318909034,319
DOM319,DOM,AKLWESTHAV,Waiheke Island,14,24.5345001986998,319
DOM319,DOM,AKLWESTHAV,Whangamumu,7,180.739392496489,319
DOM319,DOM,AKLWESTHAV,Opua,2,178.950919807639,319
DOM319,DOM,AKLWESTHAV,Coromandel,14,66.2164248883916,319
DOM32,DOM,AKLHMB,Great Barrier,10,81.6589826657178,32
DOM320,DOM,Tauranga,Great Barrier,14,162.671591404277,320
DOM321,DOM,Tauranga,Opua,1,320.246655564114,321
DOM322,DOM,Tauranga,Mayor Is,5,42.33760030989,322
DOM322,DOM,Tauranga,Mercury Islands,2,124.08349205273,322
DOM322,DOM,Tauranga,Motuihe Is,1,145.063821816468,322
DOM322,DOM,Tauranga,Whangamata,1,59.508500443214,322
DOM323,DOM,AKLWESTHAV,Tutukaka,2,136.339193557832,323
DOM324,DOM,AKLWESTHAV,Kawau Is,3,46.8842318909034,324
DOM324,DOM,AKLWESTHAV,Great Barrier,3,87.9603970545836,324
DOM325,DOM,AKLBWM,AKLWESTHAV,14,2.52604433848656,325
DOM325,DOM,AKLBWM,AKLHMB,30,13.7866964861057,325
DOM325,DOM,AKLBWM,Great Barrier,14,85.4524619305962,325
DOM325,DOM,AKLBWM,Little Barrier,0.5,76.9044878404375,325
DOM329,DOM,Kerikeri,AKLHOBS,3,197.178094625138,329
DOM330,DOM,Kerikeri,Poor Knight Is,1,73.003180752622,330
DOM330,DOM,Kerikeri,Great Barrier,6,181.776789634981,330
DOM330,DOM,Kerikeri,AKLVIA,7,194.422826849113,330
DOM330,DOM,Kerikeri,Opua,4,15.7289541928254,330
DOM331,DOM,Opua,Whangamumu,3,18.2340039486669,331
DOM335,DOM,AKLPINE,Bay of Islands,7,196.990299316997,335
DOM335,DOM,AKLPINE,AKLWESTHAV,349,22.3073799447627,335
DOM335,DOM,AKLPINE,Tutukaka,2,146.433099058922,335
DOM335,DOM,AKLPINE,Kawau Is,3,53.2781381056058,335
DOM335,DOM,AKLPINE,Waiheke Island,3,10.3364645793424,335
DOM336,DOM,AKLWESTHAV,AKLWESTPARK,365,9.29800516239908,336
DOM337,DOM,AKLWESTHAV,Bay of Islands,30,183.789278318949,337
DOM337,DOM,AKLWESTHAV,Great Barrier,10,87.9603970545836,337
DOM337,DOM,AKLWESTHAV,Waiheke Island,10,24.5345001986998,337
DOM338,DOM,AKLWESTHAV,Great Barrier,14,87.9603970545836,338
DOM338,DOM,AKLWESTHAV,Gulf Harbour,1,27.2313872213665,338
DOM338,DOM,AKLWESTHAV,Opua,21,178.950919807639,338
DOM34,DOM,Picton,Wellington,35,65.1801350105997,34
DOM34,DOM,Picton,Nelson,21,61.5845841099865,34
DOM340,DOM,AKLWESTHAV,Bay of Islands,15,183.789278318949,340
DOM340,DOM,AKLWESTHAV,Tutukaka,1,136.339193557832,340
DOM340,DOM,AKLWESTHAV,Opua,1,178.950919807639,340
DOM341,DOM,Kawau Is,Bay of Islands,14,144.893126217223,341
DOM342,DOM,AKLWESTHAV,Bay of Islands,1,183.789278318949,342
DOM342,DOM,AKLWESTHAV,AKLHMB,2,14.5848997254009,342
DOM342,DOM,AKLWESTHAV,Kawau Is,1,46.8842318909034,342
DOM342,DOM,AKLWESTHAV,Great Barrier,14,87.9603970545836,342
DOM342,DOM,AKLWESTHAV,Gulf Harbour,2,27.2313872213665,342
DOM342,DOM,AKLWESTHAV,Whangamumu,4,180.739392496489,342
DOM342,DOM,AKLWESTHAV,AKLPINE,2,22.3073799447627,342
DOM342,DOM,AKLWESTHAV,Coromandel,2,66.2164248883916,342
DOM344,DOM,AKLWESTHAV,Mercury Islands,7,95.414435490653,344
DOM344,DOM,AKLWESTHAV,Great Barrier,15,87.9603970545836,344
DOM345,DOM,Tutukaka,Poor Knight Is,2,24.7496343407332,345
DOM346,DOM,Whangarei,Poor Knight Is,1,47.7472554185055,346
DOM346,DOM,Whangarei,Tutukaka,4,23.0217288664427,346
DOM347,DOM,Mangonui Harbour,Bay of Islands,6,59.2256787635228,347
DOM347,DOM,Mangonui Harbour,Opua,1,62.8028661766324,347
DOM347,DOM,Mangonui Harbour,Kerikeri,2,47.6806040230197,347
DOM347,DOM,Mangonui Harbour,AKLBBM,2,241.647198411238,347
DOM348,DOM,AKLWESTHAV,Great Barrier,7,87.9603970545836,348
DOM349,DOM,Kerikeri,AKLWESTHAV,21,193.445609151513,349
DOM349,DOM,Kerikeri,Opua,7,15.7289541928254,349
DOM35,DOM,Wellington,Nelson,3,126.755320992848,35
DOM35,DOM,Wellington,Picton,42,65.1801350105997,35
DOM350,DOM,AKLWESTHAV,Tutukaka,1,136.339193557832,350
DOM350,DOM,AKLWESTHAV,Opua,1,178.950919807639,350
DOM353,DOM,Waikawa Bay,Picton,31,3.31620641697709,353
DOM354,DOM,Lyttelton,Nelson,3,264.53510504279,354
DOM354,DOM,Lyttelton,Picton,2,278.9369663562,354
DOM355,DOM,Gulf Harbour,Great Barrier,14,67.8647552121129,355
DOM358,DOM,AKLWESTHAV,Great Barrier,10,87.9603970545836,358
DOM358,DOM,AKLWESTHAV,Little Barrier,0.5,79.2763549237728,358
DOM359,DOM,AKLBBM,Bay of Islands,2,191.790306650258,359
DOM359,DOM,AKLBBM,Tutukaka,15,142.178903146705,359
DOM359,DOM,AKLBBM,AKLPINE,4,7.93756889733878,359
DOM360,DOM,Kerikeri,AKLWESTHAV,3,193.445609151513,360
DOM361,DOM,AKLWESTHAV,Tutukaka,4,136.339193557832,361
DOM361,DOM,AKLWESTHAV,Opua,1,178.950919807639,361
DOM363,DOM,AKLTamaki,AKLHMB,7,2.6032479712851,363
DOM364,DOM,Waikawa Bay,Wellington,6,62.5874717894883,364
DOM364,DOM,Waikawa Bay,Nelson,1,64.1939181309258,364
DOM365,DOM,Waikawa Bay,Wellington,1,62.5874717894883,365
DOM366,DOM,Gulf Harbour,Opua,14,156.298564452781,366
DOM367,DOM,Lyttelton,Cuvier Is,9,838.037376254783,367
DOM368,DOM,Waikawa Bay,Picton,365,3.31620641697709,368
DOM370,DOM,AKLWESTPARK,AKLBWM,14,10.5368401335505,370
DOM370,DOM,AKLWESTPARK,Opua,2,173.419205972118,370
DOM373,DOM,AKLWESTHAV,Tutukaka,2,136.339193557832,373
DOM373,DOM,AKLWESTHAV,Opua,2,178.950919807639,373
DOM373,DOM,AKLWESTHAV,Tauranga,1,156.730126331857,373
DOM375,DOM,Kerikeri,Whangamumu,4,28.0387392726563,375
DOM376,DOM,AKLWESTHAV,Opua,14,178.950919807639,376
DOM376,DOM,AKLWESTHAV,Nelson,60,507.230757151023,376
DOM377,DOM,AKLWESTHAV,Kawau Is,5,46.8842318909034,377
DOM377,DOM,AKLWESTHAV,Gulf Harbour,1,27.2313872213665,377
DOM377,DOM,AKLWESTHAV,Coromandel,7,66.2164248883916,377
DOM378,DOM,Wellington,Nelson,2,126.755320992848,378
DOM378,DOM,Wellington,Picton,30,65.1801350105997,378
DOM380,DOM,Wellington,Nelson,1,126.755320992848,380
DOM381,DOM,Waikawa Bay,Picton,1,3.31620641697709,381
DOM382,DOM,Wellington,Nelson,120,126.755320992848,382
