vessel_no,FreqUse,TripType,SourceWater,RiskyWater,MaxVol,EmptyDepart,EmptyArrival,FreqDischarge,vessel_type,name,home,location,sum_score,hazard_score,Length,Speed,storage,steam_fine,steam_rough,active_fine,active_rough,mean_rate,max_rate
76,4,3,1,4,1,2,2,3,Yacht,King Billy,Nelson Haven,Nelson/Picton,17,576,11.5,5,In water,0.041666666666666664,0.16666666666666666,0.041666666666666664,0.16666666666666666,0.10416666666666666,0.16666666666666666
77,3,3,0,1,3,2,4,3,Commercial,Ata Whenua,Nelson marina,Nelson/Picton,15,0,18.5,14,In water,0,0,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.041666666666666664
78,3,3,4,1,1,1,1,3,Trailer boat,Brutally Handsome,Nelson boat ramp,Nelson/Picton,12,108,6,30,On land,0,0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666
79,2,3,2,1,2,1,1,0,Trailer boat,Minstrel,Nelson boat ramp,Nelson/Picton,11,0,5.8,20,On land,0,0,0,0,0,0
80,2,1,4,1,2,1,1,4,Trailer boat,Rubber Ducky,Nelson boat ramp,Nelson/Picton,10,64,5.5,24,On land,0,0,0,0,0,0
81,2,1,2,1,3,1,1,0,Trailer boat,McClay,Nelson boat ramp,Nelson/Picton,10,0,5.9,20,On land,0,0,0,0,0,0
82,2,1,4,1,2,1,1,0,Trailer boat,Sea Pearl,Nelson boat ramp,Nelson/Picton,10,0,5,20,On land,0,0,0,0,0,0
83,2,1,4,1,2,1,2,2,Trailer boat,Calypso,Nelson boat ramp,Nelson/Picton,11,64,5.8,20,On land,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.375,0.6666666666666666
84,2,1,3,1,3,1,1,0,Trailer boat,Wet Dreams,Nelson boat ramp,Nelson/Picton,11,0,8.5,30,On land,0,0,0,0,0,0
85,3,3,4,1,3,1,1,3,Trailer boat,Ika Nua,Nelson boat ramp,Nelson/Picton,14,324,6.5,20,On land,0,0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666
86,2,3,1,2,3,3,1,3,Yacht,Calculator,Nelson marina,Nelson/Picton,14,324,9,6,In water,0.08333333333333333,0.3333333333333333,0.041666666666666664,0.08333333333333333,0.13541666666666666,0.3333333333333333
87,2,3,1,1,3,2,2,3,Yacht,Kautere,Nelson marina,Nelson/Picton,13,216,10.6,6,In water,0.041666666666666664,0.08333333333333333,0,0,0.03125,0.08333333333333333
88,3,4,2,1,2,1,1,3,Yacht,Sailing Solution,Nelson marina,Nelson/Picton,14,144,14.6,7,In water,0,0.041666666666666664,0,0,0.010416666666666666,0.041666666666666664
89,4,3,1,1,3,4,1,3,Yacht,Seeker 1,Nelson marina,Nelson/Picton,17,432,12.2,6,In water,0.020833333333333332,0.16666666666666666,0,0,0.046875,0.16666666666666666
90,4,3,0,1,2,1,1,3,Yacht,Urraco,Nelson marina,Nelson/Picton,12,0,11.3,5,In water,0,0.041666666666666664,0,0,0.010416666666666666,0.041666666666666664
91,4,4,0,1,1,1,1,0,Yacht,Morning Star,Nelson marina,Nelson/Picton,12,0,12,6,In water,0,0,0,0,0,0
92,2,3,2,1,4,2,1,3,Yacht,Mon Tour,Nelson marina,Nelson/Picton,14,288,10.7,6,In water,0,0.041666666666666664,0,0.041666666666666664,0.020833333333333332,0.041666666666666664
93,2,3,4,1,3,2,1,3,Launch,Mandalay,Nelson marina,Nelson/Picton,14,432,13,20,In water,0,0,0.16666666666666666,0.3333333333333333,0.125,0.3333333333333333
94,3,3,4,4,2,1,1,3,Commercial,Topside,Nelson boat ramp,Nelson/Picton,18,864,6.8,20,On land,0,0,0.125,0.5,0.15625,0.5
95,2,1,4,1,2,1,1,3,Trailer boat,Spear Rib,Nelson boat ramp,Nelson/Picton,10,48,4.9,24,On land,0,0,0,0.5,0.125,0.5
96,1,1,4,1,2,1,3,2,Trailer boat,AliCraft,Nelson boat ramp,Nelson/Picton,12,48,4.6,16,On land,1,0,1,0,0.5,1
97,3,2,4,1,2,1,1,3,Commercial,Waihoe,Nelson boat ramp,Nelson/Picton,13,144,8,20,On land,0,0,0.5,0.5,0.25,0.5
98,3,1,4,1,3,1,1,0,Trailer boat,Tom Thumb,Nelson boat ramp,Nelson/Picton,12,0,5.4,20,On land,0,0,0,0,0,0
99,2,1,4,1,2,1,2,2,Commercial,Aihe,Waikawa boat ramp,Nelson/Picton,12,64,4.5,20,On land,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
100,3,2,4,1,2,1,1,2,Commercial,Astrolabe,Picton boat ramp,Nelson/Picton,13,96,6.8,24,On land,0.25,1,0.6666666666666666,2,0.9791666666666666,2
